instance_id,lime_time_s
0,0.00902
1,0.007858
2,0.008199
3,0.008124
4,0.007973
5,0.008338
6,0.007899
7,0.008515
8,0.007659
9,0.007518
10,0.007608
11,0.008202
12,0.007934
13,0.007758
14,0.008118
15,0.00944
16,0.007632
17,0.008586
18,0.008018
19,0.00776
20,0.007648
21,0.007499
22,0.007506
23,0.008959
24,0.007621
25,0.007228
26,0.008709
27,0.009805
28,0.008354
29,0.008141
30,0.008463
31,0.007413
32,0.008407
33,0.008215
34,0.007618
35,0.007618
36,0.009032
37,0.00791
38,0.007613
39,0.0077
40,0.008566
41,0.007463
42,0.007523
43,0.007372
44,0.008178
45,0.007428
46,0.007182
47,0.007654
48,0.008614
49,0.00804
50,0.007582
51,0.00748
52,0.008805
53,0.00816
54,0.007496
55,0.007387
56,0.007541
57,0.007376
58,0.007309
59,0.008354
60,0.008118
61,0.008284
62,0.008558
63,0.008794
64,0.007789
65,0.007246
66,0.007317
67,0.007192
68,0.007329
69,0.007274
70,0.007235
71,0.007443
72,0.009123
73,0.008001
74,0.007745
75,0.007549
76,0.007581
77,0.007655
78,0.007474
79,0.007631
80,0.00854
81,0.008637
82,0.009385
83,0.00791
84,0.008988
85,0.01265
86,0.021682
87,0.015757
88,0.017646
89,0.021466
90,0.011084
91,0.009184
92,0.009922
93,0.008741
94,0.008515
95,0.007393
96,0.00807
97,0.00792
98,0.008209
99,0.007423
100,0.008247
101,0.008231
102,0.00988
103,0.007635
104,0.008389
105,0.007922
106,0.008184
107,0.007374
108,0.008259
109,0.007385
110,0.008892
111,0.007498
112,0.009588
113,0.00808
114,0.009753
115,0.00826
116,0.008083
117,0.007432
118,0.008259
119,0.007873
120,0.009438
121,0.007912
122,0.008211
123,0.008027
124,0.007844
125,0.007568
126,0.007952
127,0.007984
128,0.007445
129,0.007403
130,0.00724
131,0.007209
132,0.007257
133,0.00725
134,0.008124
135,0.008094
136,0.008096
137,0.008707
138,0.008425
139,0.0076
140,0.007547
141,0.008215
142,0.008213
143,0.007121
144,0.007205
145,0.00724
146,0.00805
147,0.007985
148,0.007901
149,0.00739
150,0.007082
151,0.007952
152,0.007707
153,0.007509
154,0.007361
155,0.007178
156,0.007295
157,0.007209
158,0.008327
159,0.007075
160,0.007582
161,0.007887
162,0.007361
163,0.007728
164,0.007593
165,0.008194
166,0.007934
167,0.008649
168,0.008376
169,0.007533
170,0.007499
171,0.008469
172,0.007719
173,0.007399
174,0.008265
175,0.008243
176,0.008431
177,0.007445
178,0.00837
179,0.008299
180,0.008573
181,0.007359
182,0.007807
183,0.007177
184,0.007801
185,0.007419
186,0.007319
187,0.007373
188,0.0078
189,0.008048
190,0.007511
191,0.007885
192,0.007627
193,0.007548
194,0.008502
195,0.007802
196,0.007579
197,0.00777
198,0.007371
199,0.00746
200,0.007709
201,0.008386
202,0.008675
203,0.008272
204,0.007314
205,0.007276
206,0.008818
207,0.007809
208,0.00811
209,0.007664
210,0.008251
211,0.007405
212,0.007477
213,0.007951
214,0.008222
215,0.007385
216,0.007269
217,0.007381
218,0.007285
219,0.007381
220,0.00733
221,0.008177
222,0.007701
223,0.008279
224,0.007735
225,0.007994
226,0.00806
227,0.007893
228,0.007502
229,0.007261
230,0.007548
231,0.007874
232,0.007422
233,0.007344
234,0.008347
235,0.008263
236,0.00745
237,0.007225
238,0.008031
239,0.007854
240,0.00874
241,0.007754
242,0.008117
243,0.007443
244,0.008528
245,0.008008
246,0.007387
247,0.008309
248,0.008186
249,0.008215
250,0.008789
251,0.010151
252,0.00819
253,0.00745
