instance_id,lime_time_s
0,0.009817
1,0.007577
2,0.007666
3,0.008574
4,0.008257
5,0.007813
6,0.008008
7,0.008334
8,0.008514
9,0.007504
10,0.007995
11,0.007947
12,0.009829
13,0.008288
14,0.008504
15,0.007897
16,0.008029
17,0.007505
18,0.007925
19,0.007314
20,0.007521
21,0.008316
22,0.008484
23,0.008588
24,0.008491
25,0.007353
26,0.007161
27,0.008144
28,0.007294
29,0.007569
30,0.008296
31,0.008409
32,0.007703
33,0.00823
34,0.007441
35,0.007993
36,0.007373
37,0.007507
38,0.00713
39,0.008428
40,0.007151
41,0.007098
42,0.007649
43,0.007923
44,0.008025
45,0.007947
46,0.008488
47,0.008035
48,0.008325
49,0.009723
50,0.009804
51,0.008884
52,0.009507
53,0.00814
54,0.007257
55,0.007535
56,0.00743
57,0.007594
58,0.007551
59,0.007329
60,0.007305
61,0.008077
62,0.007936
63,0.008364
64,0.007865
65,0.00768
66,0.00817
67,0.007592
68,0.00736
69,0.007602
70,0.007446
71,0.007656
72,0.007865
73,0.007373
74,0.007249
75,0.007278
76,0.007205
77,0.007444
78,0.008642
79,0.008225
80,0.007819
81,0.007773
82,0.007692
83,0.007249
84,0.007613
85,0.007187
86,0.00734
87,0.007167
88,0.007466
89,0.007241
90,0.007268
91,0.007544
92,0.009031
93,0.007959
94,0.007603
95,0.007392
96,0.00712
97,0.009886
98,0.007715
99,0.007603
100,0.00748
101,0.007213
102,0.007199
103,0.007199
104,0.007186
105,0.007054
106,0.007058
107,0.007067
108,0.007164
109,0.007094
110,0.007208
111,0.007158
112,0.007158
113,0.007574
114,0.007738
115,0.007584
116,0.007737
117,0.007511
118,0.007526
119,0.008557
120,0.00852
121,0.008645
122,0.008661
123,0.008141
124,0.007307
125,0.007248
126,0.007683
127,0.007319
128,0.008185
129,0.008199
130,0.00785
131,0.008659
132,0.008671
133,0.008625
134,0.008612
135,0.008618
136,0.008568
137,0.008563
138,0.007508
139,0.00752
140,0.007603
141,0.008579
142,0.007518
143,0.007495
144,0.007551
145,0.007554
146,0.00757
147,0.008589
148,0.008563
149,0.008562
150,0.008589
151,0.00862
152,0.008575
153,0.008312
154,0.007364
155,0.007256
156,0.007258
157,0.007174
158,0.007167
159,0.007249
160,0.00715
161,0.007192
162,0.007135
163,0.00719
164,0.007195
165,0.008195
166,0.008197
167,0.008186
168,0.008153
169,0.007167
170,0.007189
171,0.007202
172,0.008938
173,0.007625
174,0.007557
175,0.008583
176,0.009202
177,0.007809
178,0.007713
179,0.008333
180,0.007329
181,0.007279
182,0.007311
183,0.007231
184,0.007112
185,0.007175
186,0.007131
187,0.007395
188,0.007207
189,0.007209
190,0.007292
191,0.007305
192,0.00724
193,0.007299
194,0.00723
195,0.007422
196,0.00792
197,0.007595
198,0.007276
199,0.007469
200,0.0074
201,0.007202
202,0.007163
203,0.007348
204,0.007233
205,0.007545
206,0.007267
207,0.008394
208,0.007682
209,0.007372
210,0.007808
211,0.007404
212,0.007617
213,0.007291
214,0.007233
215,0.0073
216,0.007309
217,0.008194
218,0.007212
219,0.007175
220,0.007181
221,0.007056
222,0.007118
223,0.007135
224,0.008093
225,0.007139
226,0.007073
227,0.007719
228,0.008023
229,0.007615
230,0.008539
231,0.007526
232,0.007552
233,0.007532
234,0.007583
235,0.008543
236,0.007536
237,0.007514
238,0.007501
239,0.007596
240,0.008567
241,0.007474
242,0.007595
243,0.008536
244,0.007586
245,0.008534
246,0.00751
247,0.008545
248,0.008584
249,0.00856
250,0.008525
251,0.007521
252,0.007565
253,0.008646
254,0.008649
255,0.008667
256,0.007592
257,0.007548
258,0.008619
259,0.008589
260,0.00863
261,0.00804
262,0.007203
263,0.007373
264,0.007245
265,0.00752
266,0.007216
267,0.00735
268,0.00744
269,0.007212
270,0.007514
271,0.007386
272,0.007579
273,0.007444
274,0.007621
275,0.007395
276,0.007264
277,0.00748
278,0.007153
279,0.007708
280,0.008192
281,0.007822
282,0.007459
283,0.007354
284,0.007428
285,0.007339
286,0.007695
287,0.007935
288,0.007543
289,0.007564
290,0.008635
291,0.008544
292,0.0085
293,0.008579
294,0.007548
295,0.007207
296,0.00718
297,0.007998
298,0.007487
299,0.007449
300,0.007466
301,0.007596
302,0.009093
303,0.007251
304,0.007285
305,0.007167
306,0.007197
307,0.007157
308,0.007125
309,0.007132
310,0.007399
311,0.007353
312,0.007065
313,0.007207
314,0.007603
315,0.008073
316,0.007529
317,0.007201
318,0.007218
319,0.007209
320,0.007148
321,0.007646
322,0.007138
323,0.007894
324,0.007573
325,0.007811
326,0.009225
327,0.00757
328,0.007293
329,0.00715
330,0.00726
331,0.007188
332,0.008763
333,0.010292
334,0.01193
335,0.008413
336,0.007981
337,0.010233
338,0.010194
339,0.009899
340,0.009447
341,0.009883
342,0.007963
343,0.007201
344,0.007975
345,0.008092
346,0.008373
347,0.007601
348,0.008921
349,0.007444
350,0.008538
351,0.007364
352,0.008034
353,0.00778
354,0.008299
355,0.008159
356,0.008703
357,0.00783
358,0.007429
359,0.009926
360,0.009249
361,0.007804
362,0.008714
363,0.008504
364,0.008099
365,0.008767
366,0.007611
367,0.008642
368,0.008264
369,0.009054
370,0.007632
371,0.007317
372,0.008555
373,0.009291
374,0.008
375,0.009356
376,0.008918
377,0.00761
378,0.007773
379,0.008145
380,0.008796
381,0.008334
382,0.00907
383,0.007715
384,0.009371
385,0.008812
386,0.010423
387,0.008073
388,0.008688
389,0.008414
390,0.009768
391,0.010668
392,0.012052
393,0.010026
394,0.008449
395,0.00834
396,0.00824
397,0.008878
398,0.008341
399,0.008389
400,0.007871
401,0.00934
402,0.007753
403,0.024025
404,0.008981
405,0.008743
406,0.009965
407,0.007956
408,0.008033
409,0.0078
410,0.009258
411,0.007577
412,0.007296
413,0.00817
414,0.008849
415,0.007901
416,0.007663
417,0.009004
418,0.007624
419,0.008084
420,0.00791
421,0.009665
422,0.008641
423,0.007849
424,0.007858
425,0.00942
426,0.008142
427,0.008329
428,0.008366
429,0.008456
430,0.00798
431,0.008203
432,0.008631
433,0.00888
434,0.008131
435,0.008579
436,0.008008
437,0.008244
438,0.009361
439,0.009163
440,0.008941
441,0.00825
442,0.008425
443,0.008643
444,0.008562
445,0.007561
446,0.0078
447,0.007943
448,0.007612
449,0.00738
450,0.007306
451,0.007672
452,0.007256
453,0.007614
454,0.008458
455,0.007756
456,0.00733
457,0.008294
458,0.007489
459,0.007793
460,0.007318
461,0.007167
462,0.007537
463,0.007285
464,0.007606
465,0.007308
466,0.007765
467,0.00733
468,0.008066
469,0.008034
470,0.008216
471,0.007401
472,0.007997
473,0.007509
474,0.007276
475,0.007617
476,0.007229
477,0.009114
478,0.007479
479,0.007911
480,0.007465
481,0.00796
482,0.007335
483,0.008345
484,0.007339
485,0.007395
486,0.008573
487,0.00794
488,0.007595
489,0.007364
490,0.007857
491,0.007465
492,0.007721
493,0.007327
494,0.007714
495,0.007493
496,0.008684
497,0.00781
498,0.007671
499,0.007345
500,0.008547
501,0.007592
502,0.007877
503,0.007404
504,0.007207
505,0.007737
506,0.00839
507,0.008142
508,0.008065
509,0.007716
510,0.00743
511,0.008301
512,0.007358
513,0.007529
514,0.008068
515,0.007806
516,0.007339
517,0.007235
518,0.007653
519,0.007349
520,0.007513
521,0.007264
522,0.007242
523,0.007248
524,0.007157
525,0.007243
526,0.008669
527,0.007356
528,0.008158
529,0.007107
530,0.007107
531,0.00705
532,0.007079
