instance_id,lime_time_s
0,0.016605
1,0.007585
2,0.008495
3,0.008467
4,0.008469
5,0.007399
6,0.008062
7,0.007384
8,0.008285
9,0.008795
10,0.007742
11,0.008603
12,0.008597
13,0.008737
14,0.007561
15,0.007056
16,0.007187
17,0.007156
18,0.007876
19,0.007629
20,0.007589
21,0.007427
22,0.008536
23,0.007799
24,0.007512
25,0.008799
26,0.008708
27,0.007738
28,0.007752
29,0.00872
30,0.008223
31,0.007559
32,0.007481
33,0.007695
34,0.007505
35,0.0075
36,0.008229
37,0.007667
38,0.007473
39,0.008425
40,0.008277
41,0.008312
42,0.008276
43,0.00809
44,0.007928
45,0.00801
46,0.009121
47,0.008787
48,0.011123
49,0.009688
50,0.00806
51,0.007818
52,0.008006
53,0.008227
54,0.008076
55,0.008677
56,0.008012
57,0.008294
58,0.007566
59,0.008636
60,0.007299
61,0.007297
62,0.0082
63,0.007947
64,0.0076
65,0.00765
66,0.008944
67,0.008258
68,0.009136
69,0.007585
70,0.008912
71,0.007608
72,0.007518
73,0.007503
74,0.007516
75,0.008246
76,0.007613
77,0.008854
78,0.00861
79,0.007701
80,0.007669
81,0.009241
82,0.007765
83,0.007651
84,0.00747
85,0.008567
86,0.008013
87,0.007288
88,0.007245
89,0.007289
90,0.007335
91,0.007272
92,0.008369
93,0.007631
94,0.007522
95,0.007709
96,0.007556
97,0.007476
98,0.008366
99,0.008849
100,0.009355
101,0.007679
102,0.00792
103,0.008065
104,0.007685
105,0.008236
106,0.007774
107,0.007462
108,0.007429
109,0.007807
110,0.009103
111,0.008223
112,0.008
113,0.007792
114,0.008478
115,0.007156
116,0.008022
117,0.007558
118,0.008245
119,0.007682
120,0.008309
121,0.00883
122,0.009729
123,0.008517
124,0.008487
125,0.008812
126,0.008479
127,0.00755
128,0.007971
129,0.007708
130,0.00816
131,0.008218
132,0.008162
133,0.008258
134,0.007351
135,0.007152
136,0.007186
137,0.00715
138,0.007854
139,0.007679
140,0.007499
141,0.007437
142,0.007095
143,0.007265
144,0.007168
145,0.007895
146,0.007514
147,0.007117
148,0.008584
149,0.007994
150,0.007503
151,0.007565
152,0.007537
153,0.007511
154,0.007448
155,0.007526
156,0.007626
157,0.007548
158,0.007624
159,0.007497
160,0.00955
161,0.008501
162,0.009194
163,0.007997
164,0.00897
165,0.007717
166,0.008592
167,0.010282
168,0.011827
169,0.008652
170,0.007899
171,0.007911
172,0.007589
173,0.007536
174,0.007449
175,0.008129
176,0.007501
177,0.007904
178,0.007567
179,0.007567
180,0.007552
181,0.008193
182,0.00756
183,0.007523
184,0.007513
185,0.007425
186,0.007434
187,0.007444
188,0.007387
189,0.008074
190,0.007586
191,0.008382
192,0.007777
193,0.007481
194,0.008396
195,0.007451
196,0.007365
197,0.007841
198,0.008089
199,0.007601
200,0.00736
201,0.007668
202,0.008136
203,0.008234
204,0.007852
205,0.007604
206,0.009151
207,0.007788
208,0.007299
209,0.007162
210,0.007205
211,0.007191
212,0.008468
213,0.008557
214,0.007692
215,0.00741
216,0.007773
217,0.00742
218,0.007244
219,0.007259
220,0.007195
221,0.007578
222,0.007722
223,0.007401
224,0.007436
225,0.007418
226,0.007585
227,0.007201
228,0.00817
229,0.008149
230,0.008149
231,0.008122
232,0.008134
233,0.008136
234,0.007858
235,0.007558
236,0.007606
237,0.007386
238,0.007632
239,0.007939
240,0.00758
241,0.007528
