instance_id,lime_time_s
0,0.008902
1,0.008559
2,0.008056
3,0.007649
4,0.007824
5,0.008129
6,0.007453
7,0.007175
8,0.007204
9,0.007513
10,0.007692
11,0.007722
12,0.007608
13,0.007444
14,0.007557
15,0.007611
16,0.007683
17,0.007291
18,0.008365
19,0.009342
20,0.007455
21,0.00727
22,0.007428
23,0.008033
24,0.007852
25,0.007527
26,0.007638
27,0.009048
28,0.008228
29,0.00866
30,0.007581
31,0.008303
32,0.007828
33,0.008284
34,0.007445
35,0.007644
36,0.008322
37,0.007305
38,0.007185
39,0.007435
40,0.008335
41,0.007689
42,0.007338
43,0.007316
44,0.008159
45,0.008105
46,0.008088
47,0.010703
48,0.007937
49,0.007299
50,0.008817
51,0.008004
52,0.007583
53,0.008059
54,0.008258
55,0.00763
56,0.008303
57,0.007588
58,0.007538
59,0.007416
60,0.00752
61,0.007706
62,0.007177
63,0.007243
64,0.007258
65,0.008108
66,0.007439
67,0.007211
68,0.007262
69,0.007197
70,0.007496
71,0.007294
72,0.007181
73,0.007226
74,0.008191
75,0.008337
76,0.007496
77,0.007562
78,0.007409
79,0.007934
80,0.008099
81,0.007301
82,0.007143
83,0.007577
84,0.007279
85,0.007193
86,0.007169
87,0.008284
88,0.008496
89,0.007879
90,0.007465
91,0.008121
92,0.008164
93,0.007831
94,0.008547
95,0.008517
96,0.008474
97,0.007486
98,0.008466
99,0.008444
100,0.007615
101,0.007811
102,0.007241
103,0.008231
104,0.007487
105,0.007346
106,0.007178
107,0.007224
108,0.007212
109,0.0078
110,0.007234
111,0.007201
112,0.007121
113,0.007321
114,0.007167
115,0.008206
116,0.008195
117,0.008146
118,0.008169
119,0.00879
120,0.007636
121,0.007375
122,0.007215
123,0.007457
124,0.007418
125,0.008198
126,0.00795
127,0.007545
128,0.008199
129,0.007242
130,0.007567
131,0.008119
132,0.007375
133,0.007096
134,0.007795
135,0.007441
136,0.007271
137,0.00711
138,0.007185
139,0.00723
140,0.007198
141,0.007139
142,0.007167
143,0.007072
144,0.007232
145,0.007171
146,0.007151
147,0.007149
148,0.007235
149,0.007127
150,0.007156
151,0.007845
152,0.008044
153,0.007514
154,0.00747
155,0.007408
156,0.00841
157,0.007698
158,0.007598
159,0.007525
160,0.007353
161,0.007144
162,0.007457
163,0.007227
164,0.008201
165,0.007095
166,0.007216
167,0.007186
168,0.008154
169,0.008074
170,0.007184
171,0.007616
172,0.007756
173,0.008245
174,0.007775
175,0.007249
176,0.007148
177,0.007098
178,0.007106
179,0.007322
180,0.007901
181,0.007359
182,0.007201
183,0.00778
184,0.008409
185,0.00782
186,0.007612
187,0.007376
188,0.007261
189,0.008358
190,0.007607
191,0.007209
192,0.007197
193,0.007735
194,0.007157
195,0.007408
196,0.00734
197,0.007195
198,0.007495
199,0.007297
200,0.007613
201,0.007733
202,0.007493
203,0.007281
204,0.008253
205,0.008182
206,0.008342
207,0.00746
208,0.007227
209,0.007175
210,0.008194
211,0.008046
212,0.008779
213,0.012127
214,0.007992
215,0.007254
216,0.007304
217,0.00821
218,0.007585
219,0.008867
220,0.008591
221,0.008949
222,0.008202
223,0.007456
224,0.007282
225,0.008397
226,0.008684
227,0.007642
228,0.008427
229,0.007838
230,0.008291
231,0.007602
232,0.007364
233,0.00732
234,0.007938
235,0.007552
236,0.007404
237,0.007355
238,0.007163
239,0.007678
240,0.007801
241,0.00743
242,0.007258
243,0.007124
244,0.007348
245,0.007349
246,0.008257
247,0.00853
248,0.008591
249,0.008088
250,0.008055
251,0.007769
252,0.008004
253,0.007584
254,0.007248
255,0.008072
256,0.007801
257,0.00775
258,0.007831
259,0.007678
260,0.008296
261,0.007714
262,0.007335
263,0.007155
264,0.007558
265,0.007445
266,0.007322
267,0.007509
268,0.007317
269,0.008027
270,0.007725
271,0.007355
272,0.007423
273,0.007428
274,0.007251
275,0.008229
276,0.008187
277,0.007164
278,0.008024
279,0.007612
280,0.007626
281,0.007975
282,0.008353
283,0.008981
284,0.007353
285,0.007193
286,0.007564
287,0.007359
288,0.007231
289,0.007292
290,0.007285
291,0.007247
292,0.007653
293,0.008296
294,0.007679
295,0.007994
296,0.007707
297,0.00774
298,0.007635
299,0.007597
300,0.008044
301,0.007606
302,0.007853
303,0.007677
304,0.0081
305,0.008751
306,0.009203
307,0.007852
308,0.008212
309,0.008158
310,0.008539
311,0.00852
312,0.008802
313,0.007749
314,0.007664
315,0.007482
316,0.008113
317,0.007959
318,0.008374
319,0.00795
320,0.007601
321,0.00739
322,0.007315
