seed,mean_err,median_err,max_err,std_err
42,1.682229691605001e-07,1.6127487209582902e-07,4.947548944977953e-07,1.3944838644542153e-07
43,1.6972217434543238e-07,1.759561566450074e-07,4.947548948308622e-07,1.3663261440923767e-07
44,1.6201527823866491e-07,1.5736967585479322e-07,4.947548944977953e-07,1.373079837228896e-07
45,1.6775795950513738e-07,1.8315902519661087e-07,4.947548944977953e-07,1.3225043893286498e-07
46,1.6625558420550745e-07,1.702766938838085e-07,4.970851535945897e-07,1.3549268192003166e-07
